Measure,Indicator,Region,Year,Food group,Stats,Intake (g/d)
abs,GDD,WLD,2015,fruits,mean,79.787
abs,GDD,WLD,2015,fruits,low,71.6979
abs,GDD,WLD,2015,fruits,high,89.1234
abs,GDD,WLD,2015,vegetables,mean,177.903
abs,GDD,WLD,2015,vegetables,low,163.345
abs,GDD,WLD,2015,vegetables,high,193.977
abs,GDD,WLD,2015,legumes,mean,26.0513
abs,GDD,WLD,2015,legumes,low,21.0575
abs,GDD,WLD,2015,legumes,high,33.5793
abs,GDD,WLD,2015,nuts,mean,6.8377
abs,GDD,WLD,2015,nuts,low,4.83909
abs,GDD,WLD,2015,nuts,high,10.206
abs,GDD,WLD,2015,red_meat,mean,49.5126
abs,GDD,WLD,2015,red_meat,low,42.8104
abs,GDD,WLD,2015,red_meat,high,57.3673
abs,GDD,WLD,2015,fish,mean,28.0998
abs,GDD,WLD,2015,fish,low,23.7313
abs,GDD,WLD,2015,fish,high,33.5089
abs,GDD,WLD,2015,eggs,mean,20.1681
abs,GDD,WLD,2015,eggs,low,16.0936
abs,GDD,WLD,2015,eggs,high,25.5127
abs,GDD,WLD,2015,dairy,mean,199.891
abs,GDD,WLD,2015,dairy,low,155.648
abs,GDD,WLD,2015,dairy,high,263.863
abs,GDD,WLD,2015,grains,mean,340.603
abs,GDD,WLD,2015,grains,low,263.728
abs,GDD,WLD,2015,grains,high,440.903
abs,GDD,WLD,2015,roots,mean,75.0085
abs,GDD,WLD,2015,roots,low,54.6722
abs,GDD,WLD,2015,roots,high,109.59
abs,GDD,HIC,2015,fruits,mean,112.534
abs,GDD,HIC,2015,fruits,low,102.736
abs,GDD,HIC,2015,fruits,high,123.453
abs,GDD,HIC,2015,vegetables,mean,158.315
abs,GDD,HIC,2015,vegetables,low,147.481
abs,GDD,HIC,2015,vegetables,high,170.441
abs,GDD,HIC,2015,legumes,mean,23.8149
abs,GDD,HIC,2015,legumes,low,19.2945
abs,GDD,HIC,2015,legumes,high,31.0004
abs,GDD,HIC,2015,nuts,mean,7.0491
abs,GDD,HIC,2015,nuts,low,5.70193
abs,GDD,HIC,2015,nuts,high,8.92405
abs,GDD,HIC,2015,red_meat,mean,49.4872
abs,GDD,HIC,2015,red_meat,low,44.2073
abs,GDD,HIC,2015,red_meat,high,55.8281
abs,GDD,HIC,2015,fish,mean,29.2282
abs,GDD,HIC,2015,fish,low,24.9016
abs,GDD,HIC,2015,fish,high,34.8707
abs,GDD,HIC,2015,eggs,mean,22.0815
abs,GDD,HIC,2015,eggs,low,18.6065
abs,GDD,HIC,2015,eggs,high,26.49
abs,GDD,HIC,2015,dairy,mean,485.785
abs,GDD,HIC,2015,dairy,low,397.993
abs,GDD,HIC,2015,dairy,high,603.559
abs,GDD,HIC,2015,grains,mean,225.456
abs,GDD,HIC,2015,grains,low,187.205
abs,GDD,HIC,2015,grains,high,272.384
abs,GDD,HIC,2015,roots,mean,79.0531
abs,GDD,HIC,2015,roots,low,65.0954
abs,GDD,HIC,2015,roots,high,100.154
abs,GDD,UMC,2015,fruits,mean,94.3184
abs,GDD,UMC,2015,fruits,low,84.6907
abs,GDD,UMC,2015,fruits,high,105.526
abs,GDD,UMC,2015,vegetables,mean,217.481
abs,GDD,UMC,2015,vegetables,low,198.597
abs,GDD,UMC,2015,vegetables,high,238.483
abs,GDD,UMC,2015,legumes,mean,24.9547
abs,GDD,UMC,2015,legumes,low,19.89
abs,GDD,UMC,2015,legumes,high,32.5657
abs,GDD,UMC,2015,nuts,mean,7.19075
abs,GDD,UMC,2015,nuts,low,5.55952
abs,GDD,UMC,2015,nuts,high,9.4102
abs,GDD,UMC,2015,red_meat,mean,87.3021
abs,GDD,UMC,2015,red_meat,low,75.7781
abs,GDD,UMC,2015,red_meat,high,100.16
abs,GDD,UMC,2015,fish,mean,33.3022
abs,GDD,UMC,2015,fish,low,28.3006
abs,GDD,UMC,2015,fish,high,39.1852
abs,GDD,UMC,2015,eggs,mean,31.6637
abs,GDD,UMC,2015,eggs,low,24.5825
abs,GDD,UMC,2015,eggs,high,41.0676
abs,GDD,UMC,2015,dairy,mean,188.152
abs,GDD,UMC,2015,dairy,low,137.103
abs,GDD,UMC,2015,dairy,high,265.593
abs,GDD,UMC,2015,grains,mean,334.374
abs,GDD,UMC,2015,grains,low,235.298
abs,GDD,UMC,2015,grains,high,476.666
abs,GDD,UMC,2015,roots,mean,66.9916
abs,GDD,UMC,2015,roots,low,46.3108
abs,GDD,UMC,2015,roots,high,105.826
abs,GDD,LMC,2015,fruits,mean,52.783
abs,GDD,LMC,2015,fruits,low,47.5189
abs,GDD,LMC,2015,fruits,high,58.7372
abs,GDD,LMC,2015,vegetables,mean,157.661
abs,GDD,LMC,2015,vegetables,low,146.056
abs,GDD,LMC,2015,vegetables,high,169.925
abs,GDD,LMC,2015,legumes,mean,26.4836
abs,GDD,LMC,2015,legumes,low,22.0087
abs,GDD,LMC,2015,legumes,high,33.0404
abs,GDD,LMC,2015,nuts,mean,5.72689
abs,GDD,LMC,2015,nuts,low,3.71366
abs,GDD,LMC,2015,nuts,high,9.30441
abs,GDD,LMC,2015,red_meat,mean,18.1267
abs,GDD,LMC,2015,red_meat,low,14.8781
abs,GDD,LMC,2015,red_meat,high,22.4608
abs,GDD,LMC,2015,fish,mean,23.0034
abs,GDD,LMC,2015,fish,low,19.2098
abs,GDD,LMC,2015,fish,high,27.9015
abs,GDD,LMC,2015,eggs,mean,10.4338
abs,GDD,LMC,2015,eggs,low,8.57806
abs,GDD,LMC,2015,eggs,high,12.8152
abs,GDD,LMC,2015,dairy,mean,111.986
abs,GDD,LMC,2015,dairy,low,88.3725
abs,GDD,LMC,2015,dairy,high,146.353
abs,GDD,LMC,2015,grains,mean,404.297
abs,GDD,LMC,2015,grains,low,330.09
abs,GDD,LMC,2015,grains,high,489.019
abs,GDD,LMC,2015,roots,mean,78.5417
abs,GDD,LMC,2015,roots,low,57.4348
abs,GDD,LMC,2015,roots,high,112.295
abs,GDD,LIC,2015,fruits,mean,71.2398
abs,GDD,LIC,2015,fruits,low,60.4236
abs,GDD,LIC,2015,fruits,high,84.6937
abs,GDD,LIC,2015,vegetables,mean,122.476
abs,GDD,LIC,2015,vegetables,low,106.844
abs,GDD,LIC,2015,vegetables,high,141.383
abs,GDD,LIC,2015,legumes,mean,34.2439
abs,GDD,LIC,2015,legumes,low,25.9796
abs,GDD,LIC,2015,legumes,high,46.9661
abs,GDD,LIC,2015,nuts,mean,10.175
abs,GDD,LIC,2015,nuts,low,4.99023
abs,GDD,LIC,2015,nuts,high,21.5107
abs,GDD,LIC,2015,red_meat,mean,16.6892
abs,GDD,LIC,2015,red_meat,low,13.8711
abs,GDD,LIC,2015,red_meat,high,20.2804
abs,GDD,LIC,2015,fish,mean,25.0234
abs,GDD,LIC,2015,fish,low,20.8692
abs,GDD,LIC,2015,fish,high,30.1043
abs,GDD,LIC,2015,eggs,mean,6.96373
abs,GDD,LIC,2015,eggs,low,5.60567
abs,GDD,LIC,2015,eggs,high,8.75415
abs,GDD,LIC,2015,dairy,mean,81.6463
abs,GDD,LIC,2015,dairy,low,62.3833
abs,GDD,LIC,2015,dairy,high,109.917
abs,GDD,LIC,2015,grains,mean,301.496
abs,GDD,LIC,2015,grains,low,239.516
abs,GDD,LIC,2015,grains,high,383.888
abs,GDD,LIC,2015,roots,mean,88.914
abs,GDD,LIC,2015,roots,low,60.3823
abs,GDD,LIC,2015,roots,high,135.389
abs,GDD,NAC,2015,fruits,mean,90.1613
abs,GDD,NAC,2015,fruits,low,85.0591
abs,GDD,NAC,2015,fruits,high,95.4844
abs,GDD,NAC,2015,vegetables,mean,128.268
abs,GDD,NAC,2015,vegetables,low,122.686
abs,GDD,NAC,2015,vegetables,high,134.001
abs,GDD,NAC,2015,legumes,mean,18.6901
abs,GDD,NAC,2015,legumes,low,17.3039
abs,GDD,NAC,2015,legumes,high,20.2193
abs,GDD,NAC,2015,nuts,mean,10.0362
abs,GDD,NAC,2015,nuts,low,9.34856
abs,GDD,NAC,2015,nuts,high,10.7948
abs,GDD,NAC,2015,red_meat,mean,32.5055
abs,GDD,NAC,2015,red_meat,low,31.0488
abs,GDD,NAC,2015,red_meat,high,34.0332
abs,GDD,NAC,2015,fish,mean,11.6751
abs,GDD,NAC,2015,fish,low,11.0594
abs,GDD,NAC,2015,fish,high,12.3714
abs,GDD,NAC,2015,eggs,mean,17.3173
abs,GDD,NAC,2015,eggs,low,13.4503
abs,GDD,NAC,2015,eggs,high,22.2649
abs,GDD,NAC,2015,dairy,mean,509.854
abs,GDD,NAC,2015,dairy,low,476.573
abs,GDD,NAC,2015,dairy,high,546.056
abs,GDD,NAC,2015,grains,mean,114.209
abs,GDD,NAC,2015,grains,low,104.079
abs,GDD,NAC,2015,grains,high,124.722
abs,GDD,NAC,2015,roots,mean,41.7897
abs,GDD,NAC,2015,roots,low,39.0809
abs,GDD,NAC,2015,roots,high,44.6861
abs,GDD,LCN,2015,fruits,mean,107.558
abs,GDD,LCN,2015,fruits,low,95.7956
abs,GDD,LCN,2015,fruits,high,121.436
abs,GDD,LCN,2015,vegetables,mean,105.087
abs,GDD,LCN,2015,vegetables,low,94.4383
abs,GDD,LCN,2015,vegetables,high,117.405
abs,GDD,LCN,2015,legumes,mean,47.2412
abs,GDD,LCN,2015,legumes,low,39.7427
abs,GDD,LCN,2015,legumes,high,57.1219
abs,GDD,LCN,2015,nuts,mean,2.79329
abs,GDD,LCN,2015,nuts,low,1.76595
abs,GDD,LCN,2015,nuts,high,4.61213
abs,GDD,LCN,2015,red_meat,mean,65.9514
abs,GDD,LCN,2015,red_meat,low,58.1297
abs,GDD,LCN,2015,red_meat,high,75.3854
abs,GDD,LCN,2015,fish,mean,21.7052
abs,GDD,LCN,2015,fish,low,18.3028
abs,GDD,LCN,2015,fish,high,25.9847
abs,GDD,LCN,2015,eggs,mean,22.7607
abs,GDD,LCN,2015,eggs,low,19.7477
abs,GDD,LCN,2015,eggs,high,26.4238
abs,GDD,LCN,2015,dairy,mean,313.339
abs,GDD,LCN,2015,dairy,low,257.97
abs,GDD,LCN,2015,dairy,high,387.713
abs,GDD,LCN,2015,grains,mean,220.322
abs,GDD,LCN,2015,grains,low,177.927
abs,GDD,LCN,2015,grains,high,278.181
abs,GDD,LCN,2015,roots,mean,99.2198
abs,GDD,LCN,2015,roots,low,80.2585
abs,GDD,LCN,2015,roots,high,128.198
abs,GDD,ECS,2015,fruits,mean,112.565
abs,GDD,ECS,2015,fruits,low,99.6636
abs,GDD,ECS,2015,fruits,high,127.885
abs,GDD,ECS,2015,vegetables,mean,165.332
abs,GDD,ECS,2015,vegetables,low,149.58
abs,GDD,ECS,2015,vegetables,high,182.098
abs,GDD,ECS,2015,legumes,mean,16.5461
abs,GDD,ECS,2015,legumes,low,11.5983
abs,GDD,ECS,2015,legumes,high,24.8322
abs,GDD,ECS,2015,nuts,mean,8.01943
abs,GDD,ECS,2015,nuts,low,5.80734
abs,GDD,ECS,2015,nuts,high,11.1468
abs,GDD,ECS,2015,red_meat,mean,78.2898
abs,GDD,ECS,2015,red_meat,low,63.9535
abs,GDD,ECS,2015,red_meat,high,95.0403
abs,GDD,ECS,2015,fish,mean,29.9813
abs,GDD,ECS,2015,fish,low,23.7101
abs,GDD,ECS,2015,fish,high,38.498
abs,GDD,ECS,2015,eggs,mean,23.7598
abs,GDD,ECS,2015,eggs,low,18.7533
abs,GDD,ECS,2015,eggs,high,30.128
abs,GDD,ECS,2015,dairy,mean,592.511
abs,GDD,ECS,2015,dairy,low,425.861
abs,GDD,ECS,2015,dairy,high,825.028
abs,GDD,ECS,2015,grains,mean,203.082
abs,GDD,ECS,2015,grains,low,157.976
abs,GDD,ECS,2015,grains,high,265.239
abs,GDD,ECS,2015,roots,mean,128.933
abs,GDD,ECS,2015,roots,low,98.8455
abs,GDD,ECS,2015,roots,high,175.428
abs,GDD,MEA,2015,fruits,mean,108.889
abs,GDD,MEA,2015,fruits,low,93.7765
abs,GDD,MEA,2015,fruits,high,127.614
abs,GDD,MEA,2015,vegetables,mean,157.541
abs,GDD,MEA,2015,vegetables,low,137.958
abs,GDD,MEA,2015,vegetables,high,181.462
abs,GDD,MEA,2015,legumes,mean,25.4304
abs,GDD,MEA,2015,legumes,low,16.3015
abs,GDD,MEA,2015,legumes,high,43.4165
abs,GDD,MEA,2015,nuts,mean,10.6612
abs,GDD,MEA,2015,nuts,low,6.73566
abs,GDD,MEA,2015,nuts,high,16.9592
abs,GDD,MEA,2015,red_meat,mean,39.0917
abs,GDD,MEA,2015,red_meat,low,30.9158
abs,GDD,MEA,2015,red_meat,high,50.8663
abs,GDD,MEA,2015,fish,mean,25.6415
abs,GDD,MEA,2015,fish,low,18.9733
abs,GDD,MEA,2015,fish,high,35.7799
abs,GDD,MEA,2015,eggs,mean,30.3702
abs,GDD,MEA,2015,eggs,low,24.215
abs,GDD,MEA,2015,eggs,high,38.1701
abs,GDD,MEA,2015,dairy,mean,308.569
abs,GDD,MEA,2015,dairy,low,207.375
abs,GDD,MEA,2015,dairy,high,474.505
abs,GDD,MEA,2015,grains,mean,382.287
abs,GDD,MEA,2015,grains,low,282.373
abs,GDD,MEA,2015,grains,high,504.538
abs,GDD,MEA,2015,roots,mean,105.82
abs,GDD,MEA,2015,roots,low,65.8717
abs,GDD,MEA,2015,roots,high,179.203
abs,GDD,SAS,2015,fruits,mean,38.9049
abs,GDD,SAS,2015,fruits,low,35.7576
abs,GDD,SAS,2015,fruits,high,42.3467
abs,GDD,SAS,2015,vegetables,mean,162.285
abs,GDD,SAS,2015,vegetables,low,152.405
abs,GDD,SAS,2015,vegetables,high,172.265
abs,GDD,SAS,2015,legumes,mean,27.165
abs,GDD,SAS,2015,legumes,low,23.5794
abs,GDD,SAS,2015,legumes,high,32.0104
abs,GDD,SAS,2015,nuts,mean,4.04691
abs,GDD,SAS,2015,nuts,low,2.95893
abs,GDD,SAS,2015,nuts,high,5.98063
abs,GDD,SAS,2015,red_meat,mean,7.24604
abs,GDD,SAS,2015,red_meat,low,6.42151
abs,GDD,SAS,2015,red_meat,high,8.23115
abs,GDD,SAS,2015,fish,mean,11.6271
abs,GDD,SAS,2015,fish,low,10.432
abs,GDD,SAS,2015,fish,high,13.1016
abs,GDD,SAS,2015,eggs,mean,5.49923
abs,GDD,SAS,2015,eggs,low,4.82365
abs,GDD,SAS,2015,eggs,high,6.29762
abs,GDD,SAS,2015,dairy,mean,90.7948
abs,GDD,SAS,2015,dairy,low,80.2294
abs,GDD,SAS,2015,dairy,high,103.306
abs,GDD,SAS,2015,grains,mean,448.877
abs,GDD,SAS,2015,grains,low,374.581
abs,GDD,SAS,2015,grains,high,528.303
abs,GDD,SAS,2015,roots,mean,64.4095
abs,GDD,SAS,2015,roots,low,50.8523
abs,GDD,SAS,2015,roots,high,86.6218
abs,GDD,EAS,2015,fruits,mean,89.4509
abs,GDD,EAS,2015,fruits,low,81.3383
abs,GDD,EAS,2015,fruits,high,98.4938
abs,GDD,EAS,2015,vegetables,mean,245.746
abs,GDD,EAS,2015,vegetables,low,225.967
abs,GDD,EAS,2015,vegetables,high,267.858
abs,GDD,EAS,2015,legumes,mean,24.0403
abs,GDD,EAS,2015,legumes,low,18.5913
abs,GDD,EAS,2015,legumes,high,32.4623
abs,GDD,EAS,2015,nuts,mean,6.36659
abs,GDD,EAS,2015,nuts,low,5.09358
abs,GDD,EAS,2015,nuts,high,8.07078
abs,GDD,EAS,2015,red_meat,mean,80.824
abs,GDD,EAS,2015,red_meat,low,70.8177
abs,GDD,EAS,2015,red_meat,high,92.1384
abs,GDD,EAS,2015,fish,mean,43.5075
abs,GDD,EAS,2015,fish,low,37.1171
abs,GDD,EAS,2015,fish,high,50.8581
abs,GDD,EAS,2015,eggs,mean,33.32
abs,GDD,EAS,2015,eggs,low,25.8684
abs,GDD,EAS,2015,eggs,high,43.4104
abs,GDD,EAS,2015,dairy,mean,84.9894
abs,GDD,EAS,2015,dairy,low,62.0245
abs,GDD,EAS,2015,dairy,high,124.038
abs,GDD,EAS,2015,grains,mean,392.155
abs,GDD,EAS,2015,grains,low,275.027
abs,GDD,EAS,2015,grains,high,559.64
abs,GDD,EAS,2015,roots,mean,46.487
abs,GDD,EAS,2015,roots,low,29.0909
abs,GDD,EAS,2015,roots,high,81.2022
abs,GDD,SSF,2015,fruits,mean,66.4511
abs,GDD,SSF,2015,fruits,low,58.3199
abs,GDD,SSF,2015,fruits,high,75.9733
